id|name
0|Kam_Air
1|Balkh_Airlines
2|Khyber_Afghan_Airlines
3|MarcoPolo_Airways
4|Pamir_Airways
5|Bakhtar_Afghan_Airlines
6|Safi_Airways
7|Air_Algérie
8|Khalifa_Airways
9|Tassili_Airlines
10|Antinea_Airlines
11|Star_Aviation
12|TAAG_Angola_Airlines
13|Aero_Tropical
14|Angola_Air_Charter
15|Alada
16|Air_Gemini
17|Aeronáutica_(Angola)
18|Diexim_Expresso
19|SonAir
20|Air_26
21|Aerolíneas_Argentinas
22|Austral_Líneas_Aéreas
23|Líneas_Aéreas_Privadas_Argentinas
24|Aero_VIP_(Argentina)
25|CATA_Línea_Aérea
26|LADE
27|Líneas_Aéreas_Federales
28|LAN_Argentina
29|Sol_Líneas_Aéreas
30|Andes_Líneas_Aéreas
31|Silver_Sky_Airlines
32|Dinar_Líneas_Aéreas
33|Aerochaco
34|Trans_Australia_Airlines
35|Ansett_Australia
36|Skywest_Airlines
37|Virgin_Blue
38|Jetstar_Airways
39|Kendell_Airlines
40|Impulse_Airlines
41|Sunshine_Express_Airlines
42|Norfolk_Jet_Express
43|Alliance_Airlines
44|Aeropelican_Air_Services
45|Aero-Tropics_Air_Services
46|Emu_Airways
47|Cobham_Aviation_Services_Australia
48|Rossair_(Australia)
49|Airlines_of_Tasmania
50|Tasman_Cargo_Airlines
51|Australian_air_Express
52|Toll_Aviation
53|Skippers_Aviation
54|Skytrans_Airlines
55|East-West_Airlines_(Australia)
56|Regional_Express_Airlines
57|QantasLink
58|Flight_West_Airlines
59|Brindabella_Airlines
60|Tasair
61|OzJet
62|Eastern_Australia_Airlines
63|Eco_Airlines
64|Sunstate_Airlines
65|HeavyLift_Cargo_Airlines
66|Palm_Beach_Seaplanes
67|SkyAirWorld
68|Pacific_Air_Express
69|RMA_Gold_Airways
70|Tiger_Airways_Australia
71|Express_Freighters_Australia
72|V_Australia
73|Skytraders
74|Airtex_Aviation
75|Sharp_Airlines
76|Toll_Priority
77|AlphaJet_Airlines
78|Strategic_Airlines
79|Lauda_Air
80|Tyrolean_Airways
81|Niki_(airline)
82|Air_Alps
83|Welcome_Air
84|Amerer_Air
85|InterSky
86|LTU_Austria
87|Styrian_Spirit
88|Teamline_Air
89|Slovenian_Spirit
90|Fairline
91|Austrian_Airlines
92|Jetalliance
93|Tyrolean_Jet_Services
94|Air_Sylhet
95|Robin_Hood_Aviation
96|MAP_Jet
97|Montana_Austria
98|Austrojet
99|Mali_Air
100|Azerbaijan_Airlines
101|Turan_Air
102|Silk_Way_Airlines
103|Azal_Avia_Cargo
104|Imair_Airlines
105|SW_Business_Aviation
106|Belavia
107|Gomelavia
108|TransAVIAexport_Airlines
109|Genex
110|Sabena
111|SN_Brussels_Airlines
112|Virgin_Express
113|VLM_Airlines
114|TNT_Airways
115|European_Air_Transport
