creationDate|ForumId|TagId
01/03/2010 15:10:41|0|139
01/03/2010 15:10:41|0|290
01/03/2010 15:10:41|0|584
01/03/2010 15:10:41|0|779
01/03/2010 15:10:41|0|781
01/03/2010 15:10:41|0|782
01/03/2010 15:10:41|0|783
01/03/2010 15:10:41|0|804
01/03/2010 15:10:41|0|1031
01/03/2010 15:10:41|0|1621
01/03/2010 15:10:41|0|1760
01/03/2010 15:10:41|0|1763
01/03/2010 15:10:41|0|1997
01/03/2010 15:10:41|0|2001
01/03/2010 15:10:41|0|2008
01/03/2010 15:10:41|0|2031
01/03/2010 15:10:41|0|2038
01/03/2010 15:10:41|0|2045
01/03/2010 15:10:41|0|2067
01/03/2010 15:10:41|0|2074
01/03/2010 15:10:41|0|2794
01/03/2010 15:10:41|0|2797
01/03/2010 15:10:41|0|2824
01/03/2010 15:10:41|0|2825
01/03/2010 15:10:41|0|2826
01/03/2010 15:10:41|0|2865
01/03/2010 15:10:41|0|2870
01/03/2010 15:10:41|0|2908
01/03/2010 15:10:41|0|2938
01/03/2010 15:10:41|0|2942
01/03/2010 15:10:41|0|2999
01/03/2010 15:10:41|0|3020
01/03/2010 15:10:41|0|3035
01/03/2010 15:10:41|0|3041
01/03/2010 15:10:41|0|3043
01/03/2010 15:10:41|0|3044
01/03/2010 15:10:41|0|5063
01/03/2010 15:10:41|0|5156
01/03/2010 15:10:41|0|5163
01/03/2010 15:10:41|0|6763
01/03/2010 15:10:41|0|6887
01/03/2010 15:10:41|0|6991
01/03/2010 15:10:41|0|7148
01/03/2010 15:10:41|0|7507
01/03/2010 15:10:41|0|7517
01/03/2010 15:10:41|0|8225
01/03/2010 15:10:41|0|8372
01/03/2010 15:10:41|0|10712
01/03/2010 15:10:41|0|10925
01/03/2010 15:10:41|0|11515
01/03/2010 15:10:41|0|11582
07/16/2011 12:04:26|618475290625|1031
03/20/2010 19:54:12|68719476738|5163
04/16/2010 07:33:20|68719476739|7148
12/01/2011 12:07:55|755914244100|2074
07/30/2012 09:04:15|1030792151045|6887
04/15/2012 12:57:01|893353197574|1760
06/26/2011 11:47:41|549755813895|5156
08/26/2012 10:32:16|1030792151048|2999
02/24/2011 07:41:46|412316860425|8225
05/29/2010 01:21:52|137438953482|1763
04/20/2010 17:28:19|68719476747|1031
06/03/2010 08:09:29|137438953484|10925
03/14/2011 05:44:37|481036337165|11582
01/09/2011 17:43:29|412316860430|1031
09/05/2011 18:43:51|618475290639|5063
06/29/2010 10:08:37|137438953488|10925
12/27/2011 19:46:03|755914244113|6887
12/24/2010 14:37:22|343597383698|2038
