creationDate|PersonId|CityId
01/03/2010 15:10:31|14|1166
01/31/2010 13:13:03|16|1284
01/19/2010 13:51:10|27|1282
01/19/2010 23:03:07|33|969
01/20/2010 07:32:07|42|966
02/20/2010 09:49:47|46|750
01/05/2010 12:12:37|66|177
02/09/2010 22:29:01|71|1321
01/18/2010 02:01:53|100|975
02/19/2010 09:16:53|107|1178
02/19/2010 12:42:14|166|992
01/01/2010 00:46:06|181|1086
01/07/2010 11:20:01|248|1345
01/30/2010 14:23:23|325|1088
01/25/2010 15:10:21|347|313
01/10/2010 13:24:26|375|912
01/17/2010 21:30:24|394|1014
01/27/2010 12:45:36|412|1163
02/24/2010 01:32:19|417|315
02/21/2010 08:17:42|435|409
01/24/2010 20:32:11|448|464
02/21/2010 12:43:33|455|1329
02/25/2010 05:10:38|460|618
02/14/2010 11:35:46|478|835
02/12/2010 08:04:25|483|981
01/27/2010 06:17:13|490|274
01/18/2010 19:11:14|529|829
02/13/2010 19:20:48|555|425
01/12/2010 05:20:36|561|325
01/19/2010 06:03:03|599|1313
01/21/2010 11:16:06|604|461
01/01/2010 15:45:47|659|1086
02/26/2010 00:33:04|673|1363
02/20/2010 02:22:09|690|1039
01/26/2010 01:07:05|699|549
01/12/2010 09:25:40|701|525
01/24/2010 18:46:35|705|1396
01/06/2010 20:28:01|756|1253
01/08/2010 06:00:10|772|1332
02/04/2010 13:58:27|773|904
02/10/2010 00:50:45|783|1379
02/02/2010 22:43:41|786|1084
01/16/2010 02:28:02|796|210
01/09/2010 00:05:21|808|254
02/28/2010 02:08:58|859|262
02/11/2010 11:29:34|881|1408
01/04/2010 12:14:34|903|884
03/03/2010 02:35:31|910|564
01/01/2010 01:54:03|919|1106
02/16/2010 21:41:06|933|1353
01/21/2010 15:34:48|981|1017
01/30/2010 01:23:07|983|1251
01/28/2010 14:38:25|1009|797
01/29/2010 12:22:51|1037|615
01/04/2010 02:16:27|1065|785
01/02/2010 01:16:09|1096|709
01/30/2010 07:53:23|1130|256
02/12/2010 06:42:32|1171|342
01/18/2010 15:00:43|1180|1289
02/04/2010 07:32:20|1204|999
01/18/2010 11:31:34|1223|1350
02/14/2010 03:28:25|1230|877
01/20/2010 13:39:37|1246|402
02/13/2010 16:00:06|1251|1252
03/01/2010 12:32:10|1270|1294
01/04/2010 12:48:38|1286|836
03/02/2010 19:12:56|1295|1323
01/14/2010 19:26:03|1305|1405
02/24/2010 15:27:11|1312|342
01/12/2010 20:54:21|1331|1253
02/05/2010 06:50:23|1344|981
02/19/2010 05:09:34|1355|989
02/19/2010 15:29:38|1364|724
02/20/2010 14:01:08|1374|775
