creationDate|PersonId|TagId
01/03/2010 15:10:31|14|139
01/03/2010 15:10:31|14|290
01/03/2010 15:10:31|14|584
01/03/2010 15:10:31|14|779
01/03/2010 15:10:31|14|781
01/03/2010 15:10:31|14|782
01/03/2010 15:10:31|14|783
01/03/2010 15:10:31|14|804
01/03/2010 15:10:31|14|1031
01/03/2010 15:10:31|14|1621
01/03/2010 15:10:31|14|1760
01/03/2010 15:10:31|14|1763
01/03/2010 15:10:31|14|1997
01/03/2010 15:10:31|14|2001
01/03/2010 15:10:31|14|2008
01/03/2010 15:10:31|14|2031
01/03/2010 15:10:31|14|2038
01/03/2010 15:10:31|14|2045
01/03/2010 15:10:31|14|2067
01/03/2010 15:10:31|14|2074
01/03/2010 15:10:31|14|2794
01/03/2010 15:10:31|14|2797
01/03/2010 15:10:31|14|2824
01/03/2010 15:10:31|14|2825
01/03/2010 15:10:31|14|2826
01/03/2010 15:10:31|14|2865
01/03/2010 15:10:31|14|2870
01/03/2010 15:10:31|14|2908
01/03/2010 15:10:31|14|2938
01/03/2010 15:10:31|14|2942
01/03/2010 15:10:31|14|2999
01/03/2010 15:10:31|14|3020
01/03/2010 15:10:31|14|3035
01/03/2010 15:10:31|14|3041
01/03/2010 15:10:31|14|3043
01/03/2010 15:10:31|14|3044
01/03/2010 15:10:31|14|5063
01/03/2010 15:10:31|14|5156
01/03/2010 15:10:31|14|5163
01/03/2010 15:10:31|14|6763
01/03/2010 15:10:31|14|6887
01/03/2010 15:10:31|14|6991
01/03/2010 15:10:31|14|7148
01/03/2010 15:10:31|14|7507
01/03/2010 15:10:31|14|7517
01/03/2010 15:10:31|14|8225
01/03/2010 15:10:31|14|8372
01/03/2010 15:10:31|14|10712
01/03/2010 15:10:31|14|10925
01/03/2010 15:10:31|14|11515
01/03/2010 15:10:31|14|11582
01/31/2010 13:13:03|16|4843
01/19/2010 13:51:10|27|291
01/19/2010 13:51:10|27|470
01/19/2010 13:51:10|27|973
01/19/2010 13:51:10|27|974
01/19/2010 13:51:10|27|1023
01/19/2010 13:51:10|27|1175
01/19/2010 13:51:10|27|1398
01/19/2010 13:51:10|27|1532
01/19/2010 13:51:10|27|1749
01/19/2010 13:51:10|27|1763
01/19/2010 13:51:10|27|1985
01/19/2010 13:51:10|27|1986
01/19/2010 13:51:10|27|1992
01/19/2010 13:51:10|27|2114
01/19/2010 13:51:10|27|2777
01/19/2010 13:51:10|27|2785
01/19/2010 13:51:10|27|2789
01/19/2010 13:51:10|27|2791
01/19/2010 13:51:10|27|2793
01/19/2010 13:51:10|27|2864
01/19/2010 13:51:10|27|2895
01/19/2010 13:51:10|27|2942
01/19/2010 13:51:10|27|2959
01/19/2010 13:51:10|27|2979
01/19/2010 13:51:10|27|2984
01/19/2010 13:51:10|27|2991
01/19/2010 13:51:10|27|2998
01/19/2010 13:51:10|27|3005
01/19/2010 13:51:10|27|3013
01/19/2010 13:51:10|27|3025
01/19/2010 13:51:10|27|3027
01/19/2010 13:51:10|27|3046
01/19/2010 13:51:10|27|5114
01/19/2010 13:51:10|27|5192
01/19/2010 13:51:10|27|6340
01/19/2010 13:51:10|27|6383
01/19/2010 13:51:10|27|6740
01/19/2010 13:51:10|27|6980
01/19/2010 13:51:10|27|6987
01/19/2010 13:51:10|27|7522
01/19/2010 13:51:10|27|9638
01/19/2010 13:51:10|27|10449
01/19/2010 13:51:10|27|10513
01/19/2010 13:51:10|27|11824
01/19/2010 23:03:07|33|282
01/19/2010 23:03:07|33|458
01/19/2010 23:03:07|33|775
01/19/2010 23:03:07|33|778
01/19/2010 23:03:07|33|779
01/19/2010 23:03:07|33|781
01/19/2010 23:03:07|33|796
01/19/2010 23:03:07|33|1164
01/19/2010 23:03:07|33|1446
01/19/2010 23:03:07|33|1506
01/19/2010 23:03:07|33|1984
01/19/2010 23:03:07|33|1988
01/19/2010 23:03:07|33|2004
01/19/2010 23:03:07|33|2007
01/19/2010 23:03:07|33|2011
01/19/2010 23:03:07|33|2017
01/19/2010 23:03:07|33|2044
01/19/2010 23:03:07|33|2051
01/19/2010 23:03:07|33|2056
01/19/2010 23:03:07|33|2058
