creationDate|ForumId|PersonId
2010-01-03T15:10:41|0|14
2011-07-16T12:04:26|618475290625|14
2010-03-20T19:54:12|68719476738|14
2010-04-16T07:33:20|68719476739|14
2011-12-01T12:07:55|755914244100|14
2012-07-30T09:04:15|1030792151045|14
2012-04-15T12:57:01|893353197574|14
2011-06-26T11:47:41|549755813895|14
2012-08-26T10:32:16|1030792151048|14
2011-02-24T07:41:46|412316860425|14
2010-05-29T01:21:52|137438953482|14
2010-04-20T17:28:19|68719476747|14
2010-06-03T08:09:29|137438953484|14
2011-03-14T05:44:37|481036337165|14
2011-01-09T17:43:29|412316860430|14
2011-09-05T18:43:51|618475290639|14
2010-06-29T10:08:37|137438953488|14
2011-12-27T19:46:03|755914244113|14
2010-12-24T14:37:22|343597383698|14
2011-12-25T22:14:57|755914244115|14
2012-08-12T19:40:51|1030792151060|14
2010-11-02T10:54:15|274877906965|14
2012-01-13T20:19:25|824633720854|14
2012-03-09T12:29:10|893353197591|14
2012-06-29T07:47:09|962072674328|14
2010-12-24T00:23:41|343597383705|14
2011-08-05T10:31:56|618475290650|14
2011-11-07T21:37:19|755914244123|14
2011-09-17T11:47:24|687194767388|14
2011-08-28T16:02:41|618475290653|14
2010-12-24T07:33:48|343597383710|14
2010-11-29T17:08:29|343597383711|14
2011-08-10T09:35:17|618475290656|14
2011-10-31T11:19:58|687194767393|14
2012-09-04T02:41:54|1030792151074|14
2011-01-09T13:36:26|412316860451|14
2010-01-09T15:19:18|36|14
2010-01-31T13:13:13|37|16
2010-01-19T13:51:20|38|27
2010-01-19T23:03:17|39|33
2010-01-20T07:32:17|40|42
2012-06-14T09:12:37|962072674345|42
2011-03-31T11:11:19|481036337194|42
2012-08-09T00:52:22|1030792151083|42
2011-01-23T13:30:43|412316860460|42
2012-01-03T12:09:14|755914244142|42
2011-07-03T14:53:01|549755813935|42
2012-10-02T19:31:27|1099511627824|42
2011-10-13T14:25:22|687194767409|42
2012-10-07T12:21:16|1099511627826|42
2011-11-22T05:03:58|755914244147|42
2010-01-20T11:35:03|52|42
2010-05-25T15:13:25|137438953525|42
2012-02-24T01:14:30|824633720886|42
2011-11-02T23:16:30|687194767415|42
2011-07-31T01:34:37|618475290680|42
2010-06-06T16:06:37|137438953529|42
2010-04-30T13:22:20|68719476794|42
2012-01-30T13:51:31|824633720891|42
2010-08-27T15:30:44|206158430268|42
2012-07-29T06:00:54|1030792151101|42
2010-09-04T11:01:34|274877907006|42
2011-09-26T22:58:33|687194767423|42
2012-04-16T08:43:07|893353197632|42
2011-03-03T22:29:46|412316860481|42
2011-04-23T14:01:36|481036337218|42
2012-03-01T09:43:22|824633720899|42
2010-11-10T20:29:24|343597383748|42
2010-07-05T11:31:24|206158430277|42
2012-10-21T20:00:39|1099511627846|42
2012-01-13T03:46:01|824633720903|42
2011-04-13T06:04:56|481036337224|42
2012-01-01T12:14:13|755914244169|42
2012-08-31T07:48:38|1030792151114|42
2010-05-18T16:56:30|137438953547|42
2010-02-20T09:49:57|76|46
2011-06-30T08:12:03|549755813965|46
2012-06-12T09:38:46|962072674382|46
2011-11-20T03:41:43|755914244175|46
2010-10-21T11:22:37|274877907024|46
2012-09-23T04:02:05|1099511627858|46
2011-11-21T12:15:19|755914244179|46
2012-04-28T00:12:08|893353197652|46
2010-08-07T06:59:55|206158430293|46
2010-10-21T21:17:41|274877907030|46
2011-08-29T00:03:35|618475290711|46
2010-06-28T05:23:50|137438953560|46
2011-05-11T03:54:09|549755813977|46
2012-01-09T18:33:48|824633720922|46
2012-01-02T07:06:11|755914244187|46
2012-10-22T15:47:01|1099511627868|46
2010-05-15T19:48:59|137438953565|46
2010-12-08T09:49:50|343597383775|46
2012-07-12T13:46:15|1030792151136|46
2010-09-18T07:53:02|274877907041|46
2010-06-04T13:47:14|137438953570|46
2011-09-30T08:18:51|687194767459|46
2010-03-08T14:33:39|68719476836|46
2011-08-18T19:51:59|618475290725|46
2011-07-28T17:29:48|618475290726|46
2011-04-07T09:00:55|481036337255|46
2010-11-15T10:07:48|343597383784|46
2011-04-29T07:09:55|481036337257|46
2010-10-04T21:58:47|274877907050|46
2012-06-16T07:11:06|962072674411|46
2012-11-05T01:31:31|1099511627884|46
2012-10-24T22:21:04|1099511627885|46
2010-06-01T19:46:11|137438953582|46
2010-01-05T12:12:47|111|66
2012-10-14T18:29:48|1099511627888|66
2011-05-25T03:30:58|549755814001|66
2012-07-24T19:47:18|1030792151154|66
2010-05-06T00:08:57|137438953587|66
2011-10-27T15:58:24|687194767476|66
2010-12-31T10:47:11|343597383797|66
2010-07-17T20:28:14|206158430326|66
2011-08-25T20:32:39|618475290743|66
2010-08-30T04:29:51|206158430329|66
2010-12-01T07:49:25|343597383802|66
2011-11-09T10:41:00|755914244219|66
2010-02-10T04:23:06|124|66
2011-05-01T07:13:02|481036337277|66
2012-08-05T02:11:52|1030792151166|66
2010-07-16T16:41:09|206158430335|66
2012-07-24T08:43:51|1030792151168|66
2011-09-11T16:34:46|687194767489|66
2012-11-21T04:33:27|1168231104642|66
2011-05-28T12:04:47|549755814019|66
2011-09-23T02:16:53|687194767492|66
2011-06-29T04:38:16|549755814021|66
2010-07-24T16:39:58|206158430342|66
2011-01-18T15:32:14|412316860551|66
2010-06-29T06:42:50|137438953608|66
2011-07-28T21:12:39|618475290761|66
2011-12-08T07:45:50|755914244234|66
2010-05-21T14:14:27|137438953611|66
2012-07-17T22:22:29|1030792151180|66
2011-04-18T05:09:18|481036337293|66
2011-12-01T18:36:04|755914244238|66
2012-04-24T05:13:06|893353197711|66
2011-09-29T17:45:47|687194767504|66
2012-07-14T14:11:01|1030792151185|66
2012-02-23T17:27:41|824633720978|66
2010-10-09T19:23:33|274877907091|66
2010-02-09T22:29:11|148|71
2010-07-19T21:26:40|206158430357|71
2010-03-27T04:15:01|68719476886|71
2012-02-06T01:48:48|824633720983|71
2010-12-23T16:23:23|343597383832|71
2012-02-17T04:27:32|824633720986|71
2010-08-19T18:00:19|206158430363|71
2010-02-28T12:55:11|156|71
2011-09-18T02:12:47|687194767517|71
2011-07-17T20:18:23|618475290782|71
2012-05-14T14:02:00|962072674463|71
