creationDate|PersonId|CompanyId|workFrom
2010-01-03T15:10:31|14|603|2004
2010-01-03T15:10:31|14|589|2004
2010-01-03T15:10:31|14|591|2005
2010-01-31T13:13:03|16|978|2005
2010-01-31T13:13:03|16|972|2006
2010-01-19T13:51:10|27|970|2008
2010-01-19T13:51:10|27|974|2008
2010-01-20T07:32:07|42|8|2002
2010-02-20T09:49:47|46|787|2005
2010-02-20T09:49:47|46|779|2006
2010-02-20T09:49:47|46|781|2006
2010-02-20T09:49:47|46|799|2004
2010-01-05T12:12:37|66|547|2003
2010-01-05T12:12:37|66|551|2003
2010-01-18T02:01:53|100|22|2007
2010-02-19T09:16:53|107|698|2011
2010-02-19T12:42:14|166|106|2005
2010-02-19T12:42:14|166|109|2012
2010-01-01T00:46:06|181|304|2005
2010-01-01T00:46:06|181|306|2003
2010-01-01T00:46:06|181|307|2003
2010-01-01T00:46:06|181|303|2005
2010-01-30T14:23:23|325|305|2001
2010-01-30T14:23:23|325|307|2001
2010-01-25T15:10:21|347|933|2002
2010-01-10T13:24:26|375|1559|2003
2010-01-10T13:24:26|375|1560|2004
2010-01-27T12:45:36|412|603|2001
2010-01-27T12:45:36|412|604|2000
2010-02-21T08:17:42|435|920|2006
2010-02-21T08:17:42|435|345|2007
2010-02-21T08:17:42|435|937|2008
2010-02-21T08:17:42|435|907|2007
2010-01-24T20:32:11|448|938|2003
2010-02-21T12:43:33|455|1141|2006
2010-02-21T12:43:33|455|1158|2006
2010-02-21T12:43:33|455|1160|2007
2010-02-21T12:43:33|455|1146|2005
2010-02-25T05:10:38|460|83|2009
2010-02-25T05:10:38|460|460|2010
2010-02-14T11:35:46|478|1072|2007
2010-02-14T11:35:46|478|1040|2008
2010-02-14T11:35:46|478|1026|2008
2010-02-14T11:35:46|478|1044|2008
2010-02-14T11:35:46|478|1065|2007
2010-01-27T06:17:13|490|551|2004
2010-01-27T06:17:13|490|541|2003
2010-01-27T06:17:13|490|543|2003
2010-01-18T19:11:14|529|960|2012
2010-01-18T19:11:14|529|965|2006
2010-02-13T19:20:48|555|931|2003
2010-02-13T19:20:48|555|933|2002
2010-02-13T19:20:48|555|729|2003
2010-02-13T19:20:48|555|923|2002
2010-02-13T19:20:48|555|925|2001
2010-01-12T05:20:36|561|929|2006
2010-01-12T05:20:36|561|914|2006
2010-01-12T05:20:36|561|921|2007
2010-01-12T05:20:36|561|922|2007
2010-01-12T05:20:36|561|911|2007
2010-01-19T06:03:03|599|1018|2001
2010-01-19T06:03:03|599|1019|2002
2010-02-26T00:33:04|673|1255|2006
2010-02-26T00:33:04|673|1242|2005
2010-02-26T00:33:04|673|1245|2006
2010-02-20T02:22:09|690|36|2000
2010-02-20T02:22:09|690|202|2002
2010-02-20T02:22:09|690|203|2000
2010-01-26T01:07:05|699|1138|2005
2010-01-26T01:07:05|699|1139|2005
2010-01-12T09:25:40|701|728|2008
2010-01-12T09:25:40|701|729|2006
2010-01-24T18:46:35|705|1324|2009
2010-01-24T18:46:35|705|1325|2009
2010-01-06T20:28:01|756|833|2010
2010-01-06T20:28:01|756|836|2010
2010-01-06T20:28:01|756|842|2011
2010-01-06T20:28:01|756|843|2011
2010-01-06T20:28:01|756|829|2011
2010-01-08T06:00:10|772|1164|2004
2010-01-08T06:00:10|772|1167|2003
2010-02-04T13:58:27|773|1459|2007
2010-02-04T13:58:27|773|101|2006
2010-02-04T13:58:27|773|1526|2007
2010-02-04T13:58:27|773|1466|2007
2010-02-04T13:58:27|773|1450|2005
2010-02-10T00:50:45|783|1297|2007
2010-02-10T00:50:45|783|1298|2007
2010-02-10T00:50:45|783|1300|2007
2010-02-10T00:50:45|783|1301|2007
2010-02-02T22:43:41|786|1281|2007
2010-02-02T22:43:41|786|305|2006
2010-01-16T02:28:02|796|549|2002
2010-01-16T02:28:02|796|551|2002
2010-01-16T02:28:02|796|554|2001
2010-01-09T00:05:21|808|540|2006
2010-01-09T00:05:21|808|542|2007
2010-01-09T00:05:21|808|543|2007
2010-02-28T02:08:58|859|736|2004
2010-02-28T02:08:58|859|544|2005
2010-02-28T02:08:58|859|549|2005
2010-02-28T02:08:58|859|553|2003
2010-02-28T02:08:58|859|106|2005
2010-02-11T11:29:34|881|1332|2007
2010-02-11T11:29:34|881|1109|2005
2010-02-11T11:29:34|881|1333|2006
2010-02-11T11:29:34|881|1327|2006
2010-01-04T12:14:34|903|1520|2004
2010-01-04T12:14:34|903|1491|2004
2010-01-04T12:14:34|903|1519|2003
2010-02-16T21:41:06|933|1226|2010
2010-02-16T21:41:06|933|1229|2009
2010-01-21T15:34:48|981|736|2010
2010-01-30T01:23:07|983|394|2003
2010-01-30T01:23:07|983|843|2003
2010-01-30T01:23:07|983|828|2004
2010-01-30T01:23:07|983|830|2003
2010-01-29T12:22:51|1037|464|2000
2010-01-29T12:22:51|1037|456|2000
2010-01-29T12:22:51|1037|472|1999
2010-01-29T12:22:51|1037|474|1999
2010-01-29T12:22:51|1037|463|1999
2010-01-04T02:16:27|1065|896|2001
2010-01-04T02:16:27|1065|889|2001
2010-01-04T02:16:27|1065|890|2001
2010-01-04T02:16:27|1065|891|2002
2010-01-04T02:16:27|1065|892|2002
2010-01-02T01:16:09|1096|672|2007
2010-01-30T07:53:23|1130|546|2009
2010-01-30T07:53:23|1130|549|2008
2010-01-30T07:53:23|1130|554|2008
2010-01-30T07:53:23|1130|541|2007
2010-02-12T06:42:32|1171|936|2005
2010-02-12T06:42:32|1171|937|2006
2010-01-18T15:00:43|1180|993|2010
2010-01-18T15:00:43|1180|994|2009
2010-01-18T15:00:43|1180|991|2009
2010-02-04T07:32:20|1204|107|2005
2010-02-04T07:32:20|1204|108|2004
2010-02-04T07:32:20|1204|109|2004
2010-01-18T11:31:34|1223|1186|2004
2010-01-18T11:31:34|1223|1223|2003
2010-01-18T11:31:34|1223|1196|2004
2010-02-14T03:28:25|1230|1510|2002
2010-02-14T03:28:25|1230|1519|2002
2010-02-13T16:00:06|1251|834|2007
2010-03-01T12:32:10|1270|753|2006
2010-03-01T12:32:10|1270|991|2006
2010-01-04T12:48:38|1286|1031|2002
2010-03-02T19:12:56|1295|1117|2004
2010-03-02T19:12:56|1295|686|2005
2010-01-14T19:26:03|1305|1344|2003
2010-01-14T19:26:03|1305|1332|2002
2010-01-14T19:26:03|1305|1338|2003
2010-02-24T15:27:11|1312|919|2004
2010-02-24T15:27:11|1312|935|2010
2010-02-24T15:27:11|1312|926|2007
2010-01-12T20:54:21|1331|835|2007
2010-01-12T20:54:21|1331|838|2008
2010-01-12T20:54:21|1331|843|2008
2010-02-05T06:50:23|1344|70|2007
2010-02-05T06:50:23|1344|60|2007
2010-02-19T15:29:38|1364|795|2009
2010-02-19T15:29:38|1364|783|2008
2010-02-20T14:01:08|1374|896|2004
2010-02-20T14:01:08|1374|887|2003
2010-02-20T14:01:08|1374|889|2004
2010-02-20T14:01:08|1374|891|2004
2010-02-20T14:01:08|1374|895|2004
2010-02-01T14:15:22|1403|6|2008
2010-02-01T14:15:22|1403|665|2009
2010-02-01T14:15:22|1403|826|2010
2010-02-18T11:19:03|1412|544|2010
2010-02-18T11:19:03|1412|552|2010
2010-01-10T01:24:52|1420|1522|2009
2010-01-10T01:24:52|1420|2|2011
2010-01-10T01:24:52|1420|1529|2012
2010-01-10T01:24:52|1420|1450|2009
2010-01-10T01:24:52|1420|1530|2009
2010-01-20T20:52:02|1425|928|2007
2010-01-20T20:52:02|1425|916|2006
2010-01-20T20:52:02|1425|938|2007
2010-01-20T20:52:02|1425|906|2005
2010-01-28T20:43:50|1428|1557|2010
2010-01-28T20:43:50|1428|1559|2010
2010-01-28T20:43:50|1428|1560|2010
2010-02-07T21:25:15|1435|1457|2006
2010-02-07T21:25:15|1435|1475|2004
2010-02-07T21:25:15|1435|1524|2006
2010-02-07T21:25:15|1435|1482|2005
2010-01-22T08:02:41|1443|642|2006
2010-01-22T08:02:41|1443|618|2004
2010-02-11T03:52:17|1448|1559|2006
2010-02-11T03:52:17|1448|1560|2005
2010-02-11T03:52:17|1448|1561|2006
2010-02-09T09:59:32|1467|548|2005
2010-02-09T09:59:32|1467|550|2006
2010-02-09T09:59:32|1467|552|2007
2010-02-09T09:59:32|1467|541|2005
2010-02-09T09:59:32|1467|543|2005
2010-02-11T21:38:46|1494|907|2004
2010-02-11T21:38:46|1494|924|2004
2010-01-17T10:03:52|1505|923|2002
2010-02-24T18:37:28|1555|727|2004
2010-01-13T07:50:27|1582|784|2005
2010-01-13T07:50:27|1582|548|2004
2010-01-13T07:50:27|1582|745|2004
2010-02-18T10:30:33|1605|544|2007
2010-02-18T10:30:33|1605|547|2009
2010-02-18T10:30:33|1605|554|2009
2010-02-05T20:52:50|1608|296|2011
2010-02-05T20:52:50|1608|297|2011
2010-02-05T20:52:50|1608|298|2012
2010-02-08T03:36:26|1628|680|2011
2010-02-22T21:53:10|1640|547|2009
2010-02-22T21:53:10|1640|538|2009
2010-02-22T21:53:10|1640|543|2010
2010-01-31T05:28:34|1646|549|2003
2010-01-19T01:02:44|1649|1250|2002
2010-01-19T01:02:44|1649|1238|2002
2010-01-19T01:02:44|1649|1258|2001
2010-01-19T01:02:44|1649|1242|2001
2010-01-19T01:02:44|1649|1259|2001
2010-02-06T20:50:18|1661|805|2006
2010-02-15T10:25:53|1681|256|2007
2010-01-13T03:59:52|1682|777|2007
2010-04-18T01:27:21|2199023255573|890|2008
2010-04-18T01:27:21|2199023255573|892|2008
2010-03-29T07:12:03|2199023255590|800|2010
2010-03-29T07:12:03|2199023255590|808|2008
2010-03-29T07:12:03|2199023255590|780|2011
2010-03-29T07:12:03|2199023255590|798|2011
2010-04-28T04:16:08|2199023255641|538|2007
2010-03-17T18:26:46|2199023255672|832|2008
2010-03-17T18:26:46|2199023255672|840|2007
2010-03-17T18:26:46|2199023255672|841|2007
2010-03-17T18:26:46|2199023255672|809|2008
2010-03-17T18:26:46|2199023255672|842|2008
2010-03-19T09:26:49|2199023255686|864|2006
2010-03-19T09:26:49|2199023255686|865|2008
2010-04-30T16:00:03|2199023255691|863|2004
2010-03-07T09:03:55|2199023255737|803|2009
2010-03-07T09:03:55|2199023255737|805|2009
2010-03-07T09:03:55|2199023255737|732|2008
2010-04-27T23:41:06|2199023255744|545|2006
2010-04-27T23:41:06|2199023255744|550|2007
2010-04-27T23:41:06|2199023255744|539|2001
2010-04-27T23:41:06|2199023255744|543|2003
2010-03-30T11:54:07|2199023255767|826|2009
2010-03-30T11:54:07|2199023255767|827|2009
2010-03-13T05:17:24|2199023255778|1558|2009
2010-03-13T05:17:24|2199023255778|1560|2010
2010-03-25T00:31:44|2199023255782|1558|2001
2010-04-18T15:20:55|2199023255783|896|2009
2010-04-18T15:20:55|2199023255783|897|2010
2010-04-18T15:20:55|2199023255783|891|2010
2010-03-16T14:33:04|2199023255797|1001|2004
2010-03-21T19:34:14|2199023255827|931|2006
2010-03-21T19:34:14|2199023255827|935|2006
2010-03-21T19:34:14|2199023255827|1257|2007
2010-04-01T13:23:52|2199023255862|789|2008
2010-04-08T08:08:07|2199023255869|865|2004
2010-04-08T08:08:07|2199023255869|866|2003
2010-03-21T23:37:42|2199023255898|1140|2006
