creationDate|Person1Id|Person2Id
2010-10-07T04:44:21|14|910
2011-04-11T20:51:44|14|8796093023077
2011-03-25T16:10:40|14|10995116278132
2012-04-16T17:06:22|14|10995116279024
2012-11-18T21:29:22|14|17592186044566
2012-05-19T03:46:43|14|21990232556617
2012-05-21T03:05:44|14|26388279067210
2012-10-14T06:51:49|14|28587302322542
2012-11-15T05:07:19|14|35184372089798
2012-07-14T20:07:36|16|859
2011-11-05T12:27:48|16|910
2011-09-12T06:58:10|16|2199023255851
2010-07-15T01:32:37|16|2199023256361
2012-08-01T06:37:04|16|2199023256425
2012-02-22T07:56:58|16|4398046511458
2010-10-24T21:57:56|16|6597069767381
2011-05-09T18:20:06|16|8796093023077
2012-07-10T22:21:09|16|8796093023537
2012-07-12T09:00:58|16|10995116278132
2011-10-09T07:49:37|16|13194139534936
2011-07-09T01:50:00|16|15393162789111
2011-12-12T22:28:00|16|15393162790214
2011-09-30T05:46:12|16|17592186045364
2012-09-18T08:10:59|16|17592186045670
2012-09-21T12:07:41|16|19791209300150
2012-11-05T23:43:34|16|21990232556493
2012-05-14T11:03:18|16|26388279066641
2012-10-15T16:52:23|16|35184372089362
2011-02-04T01:58:32|27|42
2012-03-10T21:30:31|27|910
2012-06-05T11:10:40|27|6597069767381
2011-11-29T12:07:55|27|10995116279197
2011-11-04T06:29:01|27|13194139534507
2012-03-17T10:26:51|27|17592186045813
2012-11-02T10:34:24|27|19791209301104
2012-03-17T13:19:19|27|21990232555855
2012-10-06T12:51:03|27|21990232556064
2012-03-24T19:32:33|27|26388279067332
2011-10-19T23:51:44|33|910
2012-11-03T20:16:56|33|35184372090106
2011-05-29T14:36:48|42|555
2010-01-22T17:53:41|42|808
2011-01-13T23:30:17|42|981
2012-07-17T14:34:18|42|1223
2010-06-25T06:20:35|42|1443
2012-02-22T14:51:26|42|1582
2012-11-28T05:05:49|42|1682
2011-09-22T01:16:05|42|2199023255898
2011-09-08T07:21:13|42|2199023256055
2012-01-26T10:39:34|42|2199023256304
2012-08-09T20:32:01|42|2199023256573
2012-10-11T13:40:46|42|4398046511247
2010-11-18T10:33:03|42|4398046511357
2012-07-19T08:31:48|42|4398046512195
2011-12-25T04:18:26|42|4398046512351
2012-05-02T15:22:13|42|4398046512585
2012-04-25T11:24:46|42|6597069767216
2011-07-03T14:40:48|42|6597069768067
2011-06-14T03:15:50|42|6597069768249
2010-12-18T21:32:24|42|8796093022402
2011-07-28T01:14:25|42|8796093022932
2010-10-25T05:01:21|42|8796093023537
2012-06-23T23:33:42|42|8796093023616
2010-11-07T13:38:35|42|8796093023864
2012-08-01T20:04:59|42|8796093023891
2011-02-28T16:01:08|42|8796093023896
2011-08-20T20:43:32|42|10995116277761
2011-08-07T18:56:52|42|10995116277892
2011-09-22T22:15:32|42|10995116278083
2012-10-08T06:38:53|42|10995116278091
2012-09-26T17:42:36|42|10995116278230
