creationDate|CommentId|PostId
2011-07-28T08:59:04|618475290626|618475290624
2012-05-21T04:39:52|962072674308|3
2012-11-18T22:14:57|1168231104518|962072674309
2012-11-15T18:53:47|1168231104519|962072674309
2012-11-19T00:12:17|1168231104521|1099511627784
2012-10-14T10:51:05|1099511627786|1099511627784
2011-11-04T07:38:08|687194767747|412316860802
2011-02-04T07:01:42|412316860804|412316860802
2011-11-04T09:22:32|687194767749|412316860802
2012-10-07T10:52:07|1099511628168|412316860802
2012-03-17T15:09:46|893353197963|618475291018
2011-11-04T08:41:00|687194767756|618475291018
2012-03-17T10:30:16|893353197965|618475291018
2011-11-04T10:34:24|687194767760|618475291018
2011-11-04T09:37:18|687194767761|618475291018
2011-11-29T21:48:57|755914244499|412316860818
2012-10-06T16:58:29|1099511628180|412316860818
2012-06-05T12:18:34|962072674710|412316860818
2012-06-05T11:41:11|962072674712|412316860818
2012-10-06T21:41:52|1099511628185|412316860818
2012-06-09T01:12:54|962072674715|962072674714
2012-06-09T21:12:25|962072674716|962072674714
2012-06-08T22:05:22|962072674717|962072674714
2012-06-09T06:43:54|962072674718|962072674714
2012-09-15T21:37:19|1099511628195|1099511628194
2012-10-06T20:53:30|1099511628196|1099511628194
2012-11-02T19:43:19|1099511628199|1099511628194
2012-03-24T19:45:37|893353197995|481036337578
2012-06-05T11:41:56|962072674732|481036337578
2012-03-25T03:49:22|893353197997|481036337578
2011-11-04T06:32:10|687194767790|481036337578
2012-03-17T18:02:15|893353198003|618475291058
2012-11-02T12:39:52|1099511628212|618475291058
2012-10-06T12:53:23|1099511628213|618475291058
2012-06-05T11:15:41|962072674742|618475291058
2012-03-17T16:05:30|893353198008|618475291058
2011-09-05T21:06:10|618475291065|618475291058
2012-07-21T04:28:56|1030792151483|1030792151482
2012-07-21T14:03:54|1030792151484|1030792151482
2012-10-06T12:53:58|1099511628221|1030792151482
2012-07-21T11:01:08|1030792151486|1030792151482
2012-10-06T19:59:56|1099511628223|1030792151482
2012-03-25T13:47:23|893353198019|687194767810
2012-10-07T08:27:54|1099511628228|687194767810
2012-10-06T18:08:32|1099511628230|687194767810
2012-03-17T19:51:53|893353198025|687194767810
2011-10-18T11:27:26|687194767818|687194767810
2012-03-10T21:43:58|893353198027|687194767810
2012-03-24T21:52:22|893353198032|687194767810
2012-10-06T23:28:24|1099511628243|687194767826
2011-10-18T17:26:48|687194767828|687194767826
2011-10-17T22:15:12|687194767829|687194767826
2012-10-06T15:38:56|1099511628250|687194767826
2012-11-02T13:26:25|1099511628255|687194767826
2012-03-10T21:41:45|893353198048|687194767826
2011-02-15T18:00:24|412316860899|412316860898
2011-11-04T10:04:34|687194767844|412316860898
2012-03-17T21:18:30|893353198053|412316860898
2012-11-02T10:41:07|1099511628263|412316860898
2012-10-06T14:29:50|1099511628264|412316860898
2012-03-11T09:09:17|893353198057|412316860898
2012-11-02T11:39:02|1099511628268|412316860898
2011-02-15T05:45:19|412316860915|412316860914
2012-11-02T11:53:18|1099511628276|412316860914
2012-03-10T23:24:27|893353198069|412316860914
2011-11-29T19:24:56|755914244598|412316860914
2012-03-18T03:03:05|893353198072|412316860914
2011-11-04T06:49:45|687194767865|412316860914
2012-03-18T09:40:13|893353198075|412316860914
