creationDate|PersonId|UniversityId|classYear
2010-01-03T15:10:31|14|4593|2004
2010-01-31T13:13:03|16|5809|2004
2010-01-19T13:51:10|27|5804|2007
2010-01-19T23:03:07|33|1596|2003
2010-01-20T07:32:07|42|1597|2002
2010-02-20T09:49:47|46|5038|2004
2010-01-05T12:12:37|66|3009|2002
2010-02-09T22:29:01|71|6150|2003
2010-01-01T00:46:06|181|2451|2003
2010-01-07T11:20:01|248|6306|2002
2010-01-30T14:23:23|325|2450|2000
2010-01-10T13:24:26|375|7892|2002
2010-01-17T21:30:24|394|1961|2006
2010-01-27T12:45:36|412|4592|2000
2010-02-24T01:32:19|417|2214|2006
2010-02-21T08:17:42|435|2214|2006
2010-01-24T20:32:11|448|2211|2003
2010-02-21T12:43:33|455|6168|2005
2010-02-25T05:10:38|460|2832|2008
2010-02-14T11:35:46|478|5981|2007
2010-02-12T08:04:25|483|1635|2009
2010-01-27T06:17:13|490|3008|2002
2010-02-13T19:20:48|555|2209|2001
2010-01-12T05:20:36|561|2210|2005
2010-01-19T06:03:03|599|5938|2000
2010-01-01T15:45:47|659|2470|2001
2010-02-26T00:33:04|673|6392|2004
2010-02-20T02:22:09|690|1971|2000
2010-01-26T01:07:05|699|6163|2005
2010-01-24T18:46:35|705|6540|2008
2010-01-06T20:28:01|756|5188|2009
2010-01-08T06:00:10|772|6172|2002
2010-02-04T13:58:27|773|6799|2005
2010-02-10T00:50:45|783|6476|2006
2010-02-02T22:43:41|786|2452|2005
2010-01-16T02:28:02|796|3014|2001
2010-01-09T00:05:21|808|3006|2006
2010-02-28T02:08:58|859|3006|2003
2010-02-11T11:29:34|881|6554|2005
2010-01-04T12:14:34|903|6798|2003
2010-03-03T02:35:31|910|1855|2010
2010-01-01T01:54:03|919|2524|2004
2010-02-16T21:41:06|933|2643|2008
2010-01-21T15:34:48|981|1959|2009
2010-01-30T01:23:07|983|5184|2002
2010-01-28T14:38:25|1009|5526|2004
2010-01-29T12:22:51|1037|2828|1998
2010-01-04T02:16:27|1065|5268|2000
2010-01-02T01:16:09|1096|4750|2006
2010-01-30T07:53:23|1130|3008|2007
2010-02-12T06:42:32|1171|2212|2004
2010-01-18T15:00:43|1180|5867|2008
2010-02-04T07:32:20|1204|1800|2003
2010-01-18T11:31:34|1223|6308|2002
2010-02-14T03:28:25|1230|6807|2001
2010-01-20T13:39:37|1246|2209|2007
2010-02-13T16:00:06|1251|5190|2006
2010-03-01T12:32:10|1270|5866|2006
2010-01-04T12:48:38|1286|5988|2002
2010-03-02T19:12:56|1295|6150|2004
2010-01-14T19:26:03|1305|6552|2001
2010-01-12T20:54:21|1331|5185|2006
2010-02-05T06:50:23|1344|1637|2006
2010-02-19T05:09:34|1355|1642|2007
2010-02-19T15:29:38|1364|5046|2008
2010-02-20T14:01:08|1374|6473|2003
2010-02-14T09:44:01|1382|1980|2002
2010-02-01T14:15:22|1403|4745|2008
2010-02-18T11:19:03|1412|3008|2010
2010-01-20T20:52:02|1425|2210|2005
2010-01-28T20:43:50|1428|7895|2009
2010-02-07T21:25:15|1435|6797|2004
2010-01-22T08:02:41|1443|4673|2004
2010-02-11T03:52:17|1448|7900|2005
2010-02-09T09:59:32|1467|3013|2005
2010-02-11T21:38:46|1494|2205|2004
2010-01-17T10:03:52|1505|2207|2001
2010-02-24T18:37:28|1555|4956|2002
2010-01-13T07:50:27|1582|1957|2004
2010-02-18T10:30:33|1605|3938|2007
2010-02-05T20:52:50|1608|2438|2010
2010-02-08T03:36:26|1628|4747|2009
2010-01-31T05:28:34|1646|3011|2003
2010-01-19T01:02:44|1649|6393|2001
2010-02-06T20:50:18|1661|5041|2005
2010-02-15T10:25:53|1681|2176|2006
2010-01-13T03:59:52|1682|5037|2006
2010-03-24T18:14:04|2199023255557|1953|2008
2010-04-18T01:27:21|2199023255573|5263|2007
2010-03-11T19:37:08|2199023255638|5046|2004
2010-04-28T04:16:08|2199023255641|3014|2005
2010-03-17T18:26:46|2199023255672|5188|2007
2010-03-19T09:26:49|2199023255686|5236|2006
